"","Well","count","G...R","O...R","pH","Area","logCa","Ca","Conc","cell_line"
"1","B02",1856,0.421166258120203,0.182728314857645,4.19143036021369,67.9838362068966,2.25138114214739,955.516269365159,"DMSO","L4992"
"2","B03",4606,0.366014437142099,0.185952923149528,4.08828488930181,73.3473729917499,2.42535842878803,996.66814721388,"DMSO","L4992"
"3","B04",2774,0.444713408555565,0.221987131808467,4.25774731804231,61.752343186734,2.35784965403465,920.600980780331,"DMSO","L3200"
"4","B05",6063,0.446725642437964,0.219876722448586,4.26164414327994,60.3412502061686,2.33276567457263,883.055438853622,"DMSO","L3200"
"5","C02",1258,0.423836488386534,0.203053072328069,4.19355283646107,71.7980922098569,2.36850440959253,1174.65367463272,"DMSO","L4992"
"6","C03",2121,0.367348832159908,0.184245256621498,4.07903872640943,74.6558227251297,2.46507784922629,1189.41414789249,"DMSO","L4992"
"7","C04",3757,0.403527547730063,0.207384839222167,4.17069789510716,70.2941176470588,2.40912124574478,956.742574487809,"DMSO","L3200"
"8","C05",3625,0.397800514720131,0.193823030481443,4.14599001046608,75.2049655172414,2.35636883371801,1007.06148131143,"DMSO","L3200"
"9","D02",567,0.422885435440074,0.204366798144444,4.17820944574601,89.5485008818342,2.43430055952057,1571.13834505685,"100uM","L4992"
"10","D04",1604,0.421700480062229,0.221402609357315,4.19192502733657,83.6745635910224,2.47536815332738,1249.18359759036,"100uM","L3200"
"11","D05",3755,0.447776766260289,0.245294260874562,4.253188060515,77.9517976031957,2.49240393108505,1192.97105282043,"100uM","L3200"
"12","E02",432,0.445609140772445,0.220475269523424,4.23360853228574,83.3888888888889,2.39791630650269,1361.22916896281,"100uM","L4992"
"13","E03",257,0.44216618566444,0.214080124810785,4.23615287534775,105.568093385214,2.3668647558343,1085.56726562559,"100uM","L4992"
"14","E04",911,0.421832339378687,0.220080797743684,4.1880226521716,83.8737650933041,2.46474263697197,1277.22145922026,"100uM","L3200"
"15","E05",3217,0.425029108002638,0.232067564050411,4.20537212576103,87.3347839602114,2.50744310462784,1219.03238601684,"100uM","L3200"
"16","F02",774,0.43028801072618,0.21508889732457,4.20087460973792,102.099483204134,2.43992511621542,1562.07191758087,"100uM","L4992"
